,Team Name,Player Name,Goals Scored
0,Algeria,Tedj BENSAOULA,2
1,Argentina,TEVEZ,8
2,Australia,KEWELL,3
3,Austria,Walter SCHACHNER,6
4,Belgium,Wilfried VAN MOER,4
5,Bolivia,Erwin SANCHEZ,1
6,Brazil,Z� ROBERTO,13
7,Bulgaria,Todor KOLEV,2
8,Cameroon,OMAM BIYIK,2
9,Chile,VARGAS,3
10,Colombia,VALENCIA,6
11,Costa Rica,WRIGHT,3
12,Croatia,SRNA,4
13,Cuba,Tomas FERNANDEZ,3
14,Czech Republic,ROSICKY,2
15,Czechoslovakia,Zdenek ZIKAN,6
16,C�te d'Ivoire,TOURE YAYA,2
17,Denmark,Thomas HELVEG,4
18,Ecuador,MENDEZ,3
19,Egypt,Abdel Rahman FAWZI,2
20,England,Wilf MANNION,8
21,France,Zinedine ZIDANE,13
22,German DR,Martin HOFFMANN,2
23,Germany,�ZIL,16
24,Germany FR,Wolfgang WEBER,10
25,Ghana,PRINCE,3
26,Greece,TOROSIDIS,2
27,Haiti,Emmanuel SANON,2
28,Honduras,Hector ZELAYA,1
29,Hungary,Zoltan CZIBOR,11
30,IR Iran,Y.GOLMOHAMMADI,1
31,Iraq,Ahmed RADHI,1
32,Israel,Mordechai SPIEGLER,1
33,Italy,ZAMBROTTA ,9
34,Jamaica,Theodore WHITMORE,2
35,Japan,TAMADA,3
36,Korea DPR,YANG Seung Kook,2
37,Korea Republic,YOO S. C.,2
38,Kuwait,Faisal AL DAKHIL,1
39,Mexico,Victor RANGEL,3
40,Morocco,Salaheddine BASSIR,2
41,Netherlands,Willy VAN DE KERKHOF,7
42,New Zealand,Steve WOODDIN,1
43,Nigeria,YEKINI,2
44,Northern Ireland,Wilbur CUSH,5
45,Norway,H. FLO,1
46,Paraguay,VERA,2
47,Peru,Teofilo CUBILLAS,7
48,Poland,Zbigniew BONIEK,10
49,Portugal,TIAGO,4
50,Romania,Viorel MOLDOVAN,4
51,Russia,TITOV,4
52,Saudi Arabia,YASSER,2
53,Scotland,Stuart McCALL,3
54,Senegal,H. CAMARA,3
55,Serbia,JOVANOVI?,1
56,Slovakia,VITTEK,3
57,Slovenia,LJUBIJANKI?,1
58,South Africa,TSHABALALA,2
59,Soviet Union,Yuri GAVRILOV,5
60,Spain,ZARRA,7
61,Sweden,Tore KELLER,5
62,Switzerland,XHAKA,6
63,Togo,C. KADER-TOURE,1
64,Tunisia,Nejib GHOMMIDH,1
65,Turkey,UMIT DAVALA,3
66,USA,WYNALDA,4
67,Ukraine,SHEVCHENKO,1
68,Uruguay,Victoriano IRIARTE,8
69,Wales,Terry MEDWIN,2
70,Yugoslavia,Zeljko CAJKOVSKI,4
71,Bosnia and Herzegovina,VR�AJEVI?,1
72,Republic of Ireland,Ray HOUGHTON,2
73,Serbia and Montenegro,ZIGIC,1
74,United Arab Emirates,KHALID ISMAIL,1
